,album,composer,length,title,artist,albumartist,organization,tracknumber,genre,date
0,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus,244466,Take a Chance on Me,ABBA,ABBA,Polydor,3,Dance,1993
1,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus,284066,I Have a Dream,ABBA,ABBA,Polydor,7,Dance,1993
2,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus/Stig Anderson,201440,S.O.S.,ABBA,ABBA,Polydor,10,Dance,1993
3,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus/Stig Anderson,242240,"Knowing Me, Knowing You",ABBA,ABBA,Polydor,2,Dance,1993
4,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus,254266,Super Trouper,ABBA,ABBA,Polydor,6,Dance,1993
5,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus/Stig Anderson,213493,Mamma Mia,ABBA,ABBA,Polydor,4,Dance,1993
6,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus/Stig Anderson,240000,The Name of the Game,ABBA,ABBA,Polydor,17,Dance,1993
7,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus,295533,The Winner Takes It All,ABBA,ABBA,Polydor,8,Dance,1993
8,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus,195266,Does Your Mother Know,ABBA,ABBA,Polydor,15,Dance,1993
9,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus/Stig Anderson,232200,Dancing Queen,ABBA,ABBA,Polydor,1,Dance,1993
10,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus/Stig Anderson,162960,Waterloo,ABBA,ABBA,Polydor,19,Dance,1993
11,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus,288800,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,ABBA,Polydor,14,Dance,1993
12,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus,326266,Chiquitita,ABBA,ABBA,Polydor,11,Dance,1993
13,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus,262466,Voulez-Vous,ABBA,ABBA,Polydor,13,Dance,1993
14,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus,238040,One of Us,ABBA,ABBA,Polydor,16,Dance,1993
15,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus,274333,Lay All Your Love on Me,ABBA,ABBA,Polydor,5,Dance,1993
16,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus,188333,"Money, Money, Money",ABBA,ABBA,Polydor,9,Dance,1993
17,Gold - Greatest Hits,Benny Andersson/Björn Ulvaeus/Stig Anderson,253626,Fernando,ABBA,ABBA,Polydor,12,Dance,1993
