0,title,tracknumber,length
1,Take a Chance on Me,3,244466
2,I Have a Dream,7,284066
3,S.O.S.,10,201440
4,"Knowing Me, Knowing You",2,242240
5,Super Trouper,6,254266
6,Mamma Mia,4,213493
7,The Name of the Game,17,240000
8,The Winner Takes It All,8,295533
9,Does Your Mother Know,15,195266
10,Dancing Queen,1,232200
11,Waterloo,19,162960
12,Gimme! Gimme! Gimme! (A Man After Midnight),14,288800
13,Chiquitita,11,326266
14,Voulez-Vous,13,262466
15,One of Us,16,238040
16,Lay All Your Love on Me,5,274333
17,"Money, Money, Money",9,188333
18,Fernando,12,253626
19,Thank You for the Music,18,231493
20,Does Your Mother Know,20,193480
21,Take a Chance on Me,16,245666
22,So Long,7,185693
23,S.O.S.,9,200493
24,Love Isn't Easy (But It Sure Is Hard Enough),4,173933
25,Mamma Mia,10,212200
26,"Knowing Me, Knowing You",14,241733
27,Dancing Queen,12,231666
28,Ring Ring,3,184693
29,Chiquitita,19,324573
30,Eagle,17,267333
31,People Need Love,1,165066
32,Fernando,11,254000
33,Waterloo,5,167000
34,Summer Night City,18,215893
35,"Honey, Honey",6,175533
36,The Name of the Game,15,292240
37,"Money, Money, Money",13,185800
38,He Is Your Brother,2,198440
39,"I Do, I Do, I Do, I Do, I Do",8,196946
40,One of Us,9,236640
41,On and on and On,7,222506
42,The Visitors (Crackin' Up),12,346626
43,Voulez-Vous,1,308373
44,Super Trouper,6,253360
45,Head Over Heels,11,227640
46,Lay All Your Love on Me,8,274626
47,I Have a Dream,4,282760
48,The Day Before You Came,13,351266
49,The Winner Takes It All,5,296373
50,Ring Ring [1974 Remix],16,190400
51,Voulez-Vous [Extended Remix],17,367880
52,When All Is Said and Done,10,197760
53,Under Attack,14,227866
54,Angeleyes,2,259933
55,Gimme! Gimme! Gimme! (A Man After Midnight),3,290600
56,Thank You for the Music,15,231773
57,Ma Paillasse (My Straw Mat),13,184666
58,En P'tit Boggie (Giddy Up),5,163240
59,Suède Inn,8,190506
60,Lune de Miel (Honeymoon),7,224400
61,"Et Boucle La Bottine (And ""Loop"" La Bottine)",16,442426
62,Reel de Baie St-Paul (Baie St-Paul's Reel),15,341066
63,Set à Ubert (Ubert's Set),4,210960
64,Aimé,6,221626
65,Chant de La Luette (The Worbler's Song),14,175293
66,Les Noces d'Or (Golden Wedding Reel),11,137106
67,Le Démon Sort de l'Enfer (The Devil Comes out of Hell),3,273706
68,Dans Paris Y'a T'Une Brune (The Brunette from Paris),1,191026
69,La Grandeuse (The Grumbling Woman),2,244133
70,A Bas Les Rideaux (Out with the Lies),10,232493
71,Viens-Tu Prendre une Bière? (Come Have a Beer!),12,154533
72,J'Ai Fait une Maîtresse (I Got Me a Mistress),9,156800
73,Le Lanlire (La Poule à Colin),11,301626
74,La Grand Côte,15,438800
75,Sur La Route (La Tapinie),2,231200
76,À Travers La Vitre,12,236573
77,Suite de La Sauvagesse,3,303693
78,Le Voyage de Basile,5,264773
79,Le Rêve Musiçal (Le Rêve du Quéteux Tremblay),8,187333
80,La Chanson de l'Ivrogne,13,255066
81,Ouverture,1,489600
82,Chapeau,6,329600
83,Galoppe et Quadrille,10,231000
84,Son P'tit Bidoulidou,16,95893
85,Virginie Adieu,7,113200
86,La Cuisinière,14,266160
87,Ch'pas Capable (La Montagne du Loup),4,247400
88,Un Coup Madame,9,273866
89,Rewrite,4,229720
90,The Afterlife,2,220173
91,Amulet,7,96573
92,Getting Ready for Christmas Day,1,246720
93,Dazzling Blue,3,272320
94,Questions for the Angels,8,229906
95,Love Is Eternal Sacred Light,6,242160
96,So Beautiful or So What,10,248560
97,Love and Hard Times,5,249480
98,Love & Blessings,9,258160
99,All Around The World Or The Myths Of Fingerprints (Early Version),14,198560
100,Diamonds On The Soles Of Her Shoes (Alternate Versioin),13,281413
101,"The Story Of ""Graceland""",15,578960
102,Graceland,2,291200
103,Homeless,8,228413
104,Diamonds On The Soles Of Her Shoes,5,351346
105,"Crazy Love, Vol. II",9,259360
106,Under African Skies,7,217160
107,You Can Call Me Al,6,280586
108,Homeless (Demo),12,150546
109,All Around The World Or The Myth Of Fingerprints,11,198426
110,Gumboots,4,164826
111,I Know What I Know,3,193373
112,The Boy in the Bubble,1,239693
113,That Was Your Mother,10,172813
114,Was a Sunny Day,7,224320
115,Loves Me Like a Rock,10,220426
116,Tenderness,2,175506
117,One Man's Ceiling Is Another Man's Floor,5,228146
118,St. Judy's Comet,9,201640
119,Loves Me Like a Rock [Acoustic Demo][#][*],14,204680
120,American Tune,6,227120
121,American Tune [Unfinished Demo][#][*],13,243173
122,Take Me to the Mardi Gras [Acoustic Demo][#][*],12,151106
123,Take Me to the Mardi Gras,3,210853
124,Learn How to Fall,8,167626
125,Something So Right,4,276826
126,Kodachrome,1,215400
127,Let Me Live in Your City [Work-In-Progress][#][*],11,261973
